epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,experiment
1,18.0411,1.08663,2.86894,1.19716,0.70787,0.78493,0.79018,0.58035,0.93894,1.34672,1.1124,0.000174406,0.000174406,0.000174406,Baseline
2,34.202,1.06326,1.33761,1.18304,0.91585,0.94628,0.97466,0.72085,0.9048,0.8477,1.08576,0.000347431,0.000347431,0.000347431,Baseline
3,50.6967,1.03931,1.04922,1.15523,0.87119,0.89021,0.93273,0.67807,0.93122,0.92999,1.10833,0.000518141,0.000518141,0.000518141,Baseline
4,65.4299,1.01753,0.93711,1.14153,0.93993,0.94585,0.98191,0.73135,0.8818,0.69717,1.06278,0.000515585,0.000515585,0.000515585,Baseline
5,81.8937,0.99165,0.85636,1.12854,0.97215,0.97796,0.98808,0.74326,0.87722,0.58387,1.05284,0.000512114,0.000512114,0.000512114,Baseline
6,98.2347,0.97944,0.81455,1.1227,0.96651,0.95522,0.98145,0.73329,0.85952,0.57783,1.06253,0.000508642,0.000508642,0.000508642,Baseline
7,114.513,0.96815,0.76491,1.11812,0.95638,0.97315,0.97915,0.72756,0.87558,0.54636,1.09004,0.00050517,0.00050517,0.00050517,Baseline
8,130.698,0.9644,0.75488,1.12254,0.98255,0.9814,0.99024,0.76282,0.83073,0.47563,1.04814,0.000501699,0.000501699,0.000501699,Baseline
9,145.74,0.94305,0.71338,1.10701,0.97768,0.97651,0.98911,0.77082,0.81618,0.46654,1.03176,0.000498227,0.000498227,0.000498227,Baseline
10,161.383,0.93947,0.67966,1.11082,0.96326,0.96581,0.98692,0.76761,0.81048,0.48036,1.03124,0.000494756,0.000494756,0.000494756,Baseline
11,176.938,0.9229,0.66126,1.10597,0.98816,0.98863,0.98839,0.77261,0.79708,0.41779,1.02798,0.000491284,0.000491284,0.000491284,Baseline
12,193.455,0.92773,0.6493,1.10634,0.8988,0.93522,0.96104,0.71794,0.92501,0.58388,1.03771,0.000487812,0.000487812,0.000487812,Baseline
13,209.396,0.92066,0.62248,1.1021,0.98756,0.99013,0.9903,0.77002,0.84364,0.40008,1.02223,0.000484341,0.000484341,0.000484341,Baseline
14,226.25,0.91168,0.61669,1.1002,0.98418,0.99242,0.99146,0.76241,0.8835,0.40973,1.03464,0.000480869,0.000480869,0.000480869,Baseline
15,242.338,0.90571,0.60802,1.09596,0.98765,0.98815,0.98976,0.77175,0.80735,0.37381,1.03141,0.000477398,0.000477398,0.000477398,Baseline
