Rank,Experiment,Config,Suite,CBAM,BiFPN,FocalLoss,GhostConv,DecoupledHead,Init,Epochs,ImageSize,Batch,Device,Precision,Recall,mAP50,mAP50-95,FPS,Delta_mAP50,Delta_mAP50-95,Delta_FPS,Weights
1,Baseline+CBAM,configs/cbam.yaml,default,True,False,False,False,False,pretrained,150,640,16,0,0.99425415079632,0.9936604146122441,0.9922651852891542,0.8012467069623093,242.10768318332535,0.0010851685209433137,0.0059247749017447005,-62.38845698669181,/root/autodl-tmp/autodl_yolov8_training_package_1049_3225/reports/ablation/runs/baseline_cbam/weights/best.pt
2,Baseline+CBAM+BiFPN,configs/cbam_bifpn.yaml,default,True,True,False,False,False,pretrained,150,640,16,0,0.9916109378707108,0.9905108897678109,0.9916185977454455,0.8007578267015445,302.73289819307524,0.00043858097723459277,0.0054358946409799325,-1.763241976941913,/root/autodl-tmp/autodl_yolov8_training_package_1049_3225/reports/ablation/runs/baseline_cbam_bifpn/weights/best.pt
3,Baseline+GhostConv,configs/ghostconv.yaml,extended,False,False,False,True,False,pretrained,150,640,16,0,0.9880283912500839,0.989882214125992,0.9891533929426118,0.7982246939468721,306.10527613758666,-0.0020266238255990388,0.002902761886307559,1.6091359675695003,/root/autodl-tmp/autodl_yolov8_training_package_1049_3225/reports/ablation/runs/baseline_ghostconv/weights/best.pt
4,Baseline,configs/baseline.yaml,default,False,False,False,False,False,pretrained,150,640,16,0,0.9933208418174008,0.9949549867728681,0.9911800167682109,0.7953219320605646,304.49614017001716,0.0,0.0,0.0,/root/autodl-tmp/autodl_yolov8_training_package_1049_3225/reports/ablation/runs/baseline/weights/best.pt
5,Baseline+DecoupledHead,configs/decoupled_head.yaml,extended,False,False,False,False,True,pretrained,150,640,16,0,0.9924643659172591,0.9945497508478204,0.9913254128587459,0.7949973778073492,235.7242253341372,0.00014539609053498825,-0.0003245542532153145,-68.77191483587995,/root/autodl-tmp/autodl_yolov8_training_package_1049_3225/reports/ablation/runs/baseline_decoupled_head/weights/best.pt
6,Baseline+CBAM+BiFPN+GhostConv+DecoupledHead,configs/cbam_bifpn_ghost_decoupled.yaml,candidate,True,True,False,True,True,pretrained,150,640,16,0,0.9799748483171103,0.9838312790710483,0.9902595815204146,0.7944604528674749,280.4886487778647,-0.0009200167682108518,-0.0008619320605645076,-24.006140170017147,/root/autodl-tmp/autodl_yolov8_training_package_1049_3225/reports/ablation_candidate/runs/baseline_cbam_bifpn_ghost_decoupled/weights/best.pt
7,Baseline+BiFPN,configs/bifpn.yaml,extended,False,True,False,False,False,pretrained,150,640,16,0,0.9919731785905828,0.9936229016277923,0.992513929625144,0.7923407238082054,299.27858500619175,0.0013339128569330727,-0.0029812082523591465,-5.217555163825409,/root/autodl-tmp/autodl_yolov8_training_package_1049_3225/reports/ablation/runs/baseline_bifpn/weights/best.pt
8,Baseline+CBAM+BiFPN+GhostConv,configs/cbam_bifpn_ghost.yaml,candidate,True,True,False,True,False,pretrained,150,640,16,0,0.9829384590178042,0.9829887738520895,0.988525753233968,0.7902728653077815,287.41913575056515,-0.002650016768210861,-0.005051932060564535,-17.07614017001714,/root/autodl-tmp/autodl_yolov8_training_package_1049_3225/reports/ablation_candidate/runs/baseline_cbam_bifpn_ghost/weights/best.pt
9,Baseline+CBAM+BiFPN+Focal,configs/cbam_bifpn_focal.yaml,default,True,True,True,False,False,pretrained,150,640,16,0,0.9848203313807088,0.9862159758879526,0.9902674885705599,0.7890915944080766,198.90443116842766,-0.0009125281976509747,-0.006230337652487927,-105.59170900158949,/root/autodl-tmp/autodl_yolov8_training_package_1049_3225/reports/ablation/runs/baseline_cbam_bifpn_focal/weights/best.pt
10,FullModel,configs/full_model.yaml,default,True,True,True,True,True,pretrained,150,640,16,0,0.9776519445393768,0.9753536865348983,0.9901179115205941,0.7847185978989305,226.29261724780858,-0.0010621052476167403,-0.01060333416163406,-78.20352292220858,/root/autodl-tmp/autodl_yolov8_training_package_1049_3225/reports/ablation/runs/full_model/weights/best.pt
11,Baseline+Focal,configs/focal.yaml,extended,False,False,True,False,False,pretrained,150,640,16,0,0.9828460107298763,0.9803114196734705,0.9890564759438184,0.7843759285293248,235.1385862822468,-0.002123540824392478,-0.010946003531239756,-69.35755388777037,/root/autodl-tmp/autodl_yolov8_training_package_1049_3225/reports/ablation/runs/baseline_focal/weights/best.pt
