epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.36,2.47865,3.9112,3.54531,0.02513,0.96999,0.27379,0.10155,1.83001,3.3932,3.17557,0.000174406,0.000174406,0.000174406
2,44.7803,1.54701,2.08383,2.32384,0.54294,0.67815,0.64957,0.43859,1.113,1.67683,1.91888,0.000347431,0.000347431,0.000347431
3,58.9882,1.33416,1.68916,1.95891,0.74931,0.83968,0.84197,0.58883,1.07696,1.33237,1.78306,0.000518141,0.000518141,0.000518141
4,73.794,1.2567,1.47395,1.82546,0.83985,0.84677,0.92263,0.64809,1.03046,1.18973,1.67711,0.000515585,0.000515585,0.000515585
5,89.1874,1.19915,1.29262,1.74023,0.93008,0.90105,0.96252,0.69818,1.00197,0.95479,1.56251,0.000512114,0.000512114,0.000512114
6,105.212,1.15565,1.2068,1.68081,0.92191,0.89827,0.96806,0.716,0.94008,0.93799,1.48824,0.000508642,0.000508642,0.000508642
7,121.625,1.13435,1.13922,1.64662,0.9551,0.95072,0.9828,0.72826,0.93432,0.78724,1.49378,0.00050517,0.00050517,0.00050517
8,138.059,1.12385,1.1107,1.63787,0.88137,0.92977,0.96492,0.70522,0.99342,0.90429,1.53832,0.000501699,0.000501699,0.000501699
9,154.405,1.09398,1.04184,1.59749,0.95716,0.9493,0.98274,0.73847,0.88274,0.73645,1.47854,0.000498227,0.000498227,0.000498227
10,169.475,1.08353,0.98775,1.58656,0.94845,0.94564,0.97948,0.73641,0.9076,0.72666,1.44555,0.000494756,0.000494756,0.000494756
11,186.081,1.05957,0.96167,1.56558,0.95247,0.96409,0.98153,0.74748,0.88655,0.68205,1.4467,0.000491284,0.000491284,0.000491284
12,202.555,1.06916,0.92018,1.56448,0.96304,0.96435,0.98408,0.71784,0.96393,0.69648,1.51497,0.000487812,0.000487812,0.000487812
13,218.974,1.05494,0.88266,1.55076,0.97337,0.97116,0.98376,0.73687,0.88244,0.61453,1.49813,0.000484341,0.000484341,0.000484341
14,235.539,1.0442,0.85996,1.53451,0.97584,0.96259,0.98839,0.74283,0.92557,0.61906,1.43195,0.000480869,0.000480869,0.000480869
15,251.728,1.03434,0.83623,1.52617,0.9397,0.95154,0.97966,0.74608,0.85958,0.6206,1.42972,0.000477398,0.000477398,0.000477398
16,267.978,1.02356,0.80979,1.5137,0.97714,0.96307,0.9881,0.75287,0.86692,0.56362,1.42771,0.000473926,0.000473926,0.000473926
17,284.402,1.00913,0.77576,1.50842,0.96049,0.97811,0.98972,0.75612,0.87278,0.55673,1.40584,0.000470454,0.000470454,0.000470454
18,297.093,1.0147,0.765,1.5042,0.95881,0.96876,0.98428,0.72738,0.8899,0.55086,1.51101,0.000466983,0.000466983,0.000466983
19,312.713,1.01132,0.74963,1.49496,0.96009,0.95493,0.98383,0.75102,0.84606,0.53118,1.42463,0.000463511,0.000463511,0.000463511
20,329.176,1.00099,0.74918,1.48633,0.96975,0.97597,0.98625,0.76651,0.8214,0.48957,1.40585,0.00046004,0.00046004,0.00046004
21,344.866,0.99164,0.72077,1.48776,0.96141,0.96773,0.98604,0.74384,0.8808,0.52547,1.45653,0.000456568,0.000456568,0.000456568
22,361.214,0.9925,0.73181,1.48716,0.9833,0.98333,0.99069,0.75891,0.84419,0.47127,1.40476,0.000453096,0.000453096,0.000453096
23,377.713,0.98842,0.70966,1.47369,0.96726,0.96429,0.98772,0.74836,0.90712,0.50903,1.408,0.000449625,0.000449625,0.000449625
24,394.104,0.97021,0.68651,1.46553,0.98838,0.97848,0.98933,0.75837,0.84844,0.45661,1.42583,0.000446153,0.000446153,0.000446153
25,410.384,0.97413,0.67695,1.46514,0.98344,0.98034,0.99194,0.76347,0.86247,0.45468,1.3783,0.000442682,0.000442682,0.000442682
26,426.902,0.96699,0.6708,1.45749,0.97383,0.96382,0.98757,0.75539,0.85758,0.49123,1.40929,0.00043921,0.00043921,0.00043921
27,443.426,0.95009,0.64277,1.43966,0.965,0.9546,0.98518,0.75759,0.85765,0.48555,1.36605,0.000435738,0.000435738,0.000435738
28,460.193,0.95786,0.65586,1.45441,0.97071,0.97367,0.98556,0.75417,0.83882,0.45638,1.47262,0.000432267,0.000432267,0.000432267
29,476.102,0.95725,0.65333,1.44559,0.9596,0.97887,0.98672,0.76034,0.83221,0.46491,1.40869,0.000428795,0.000428795,0.000428795
30,492.343,0.94142,0.64338,1.43483,0.97693,0.98177,0.9894,0.77386,0.81912,0.44386,1.38046,0.000425324,0.000425324,0.000425324
31,508.588,0.94975,0.63925,1.4385,0.98203,0.98565,0.99116,0.76691,0.84658,0.42247,1.3637,0.000421852,0.000421852,0.000421852
32,525.09,0.94562,0.63076,1.43071,0.98726,0.98488,0.99084,0.77036,0.83873,0.41449,1.36668,0.00041838,0.00041838,0.00041838
33,541.345,0.94028,0.63485,1.43325,0.9859,0.98344,0.9888,0.76932,0.81528,0.41622,1.40992,0.000414909,0.000414909,0.000414909
34,557.872,0.91977,0.61776,1.41068,0.98505,0.98633,0.98769,0.77238,0.81008,0.40238,1.383,0.000411437,0.000411437,0.000411437
35,574.121,0.93079,0.61369,1.42219,0.97953,0.98364,0.98962,0.77864,0.8032,0.39893,1.3889,0.000407966,0.000407966,0.000407966
36,590.303,0.92176,0.60955,1.41796,0.97805,0.97868,0.98847,0.75547,0.84252,0.43309,1.4389,0.000404494,0.000404494,0.000404494
37,606.549,0.92971,0.60814,1.41591,0.97862,0.98927,0.99263,0.77292,0.83188,0.40634,1.36292,0.000401022,0.000401022,0.000401022
38,622.79,0.92347,0.61325,1.41128,0.9735,0.98201,0.98809,0.77252,0.80548,0.40375,1.36704,0.000397551,0.000397551,0.000397551
39,639.258,0.92729,0.6049,1.41101,0.97827,0.98765,0.99068,0.77045,0.83708,0.41525,1.3812,0.000394079,0.000394079,0.000394079
40,655.666,0.9089,0.5906,1.39629,0.98375,0.9845,0.99006,0.77409,0.80312,0.38771,1.36376,0.000390608,0.000390608,0.000390608
41,671.108,0.90923,0.59001,1.40119,0.98829,0.98582,0.99293,0.78599,0.81497,0.39256,1.33877,0.000387136,0.000387136,0.000387136
42,687.326,0.91172,0.58692,1.40002,0.97388,0.97341,0.98822,0.76697,0.80218,0.42253,1.39471,0.000383664,0.000383664,0.000383664
43,703.513,0.90142,0.57524,1.3921,0.98924,0.98759,0.99114,0.78123,0.81485,0.38467,1.34669,0.000380193,0.000380193,0.000380193
44,719.835,0.90007,0.57289,1.39308,0.98395,0.98694,0.99076,0.77174,0.81829,0.39037,1.38423,0.000376721,0.000376721,0.000376721
45,736.221,0.89672,0.57762,1.3843,0.98422,0.98492,0.98953,0.77728,0.80556,0.38198,1.35158,0.00037325,0.00037325,0.00037325
46,750.377,0.89765,0.58719,1.38828,0.98681,0.98466,0.99248,0.78144,0.79042,0.3865,1.35474,0.000369778,0.000369778,0.000369778
47,766.562,0.88899,0.5685,1.37487,0.98919,0.98746,0.99089,0.78583,0.78992,0.37551,1.35146,0.000366306,0.000366306,0.000366306
48,782.93,0.88928,0.57402,1.37493,0.98576,0.9789,0.9897,0.77325,0.80428,0.38806,1.36855,0.000362835,0.000362835,0.000362835
49,799.149,0.88744,0.57323,1.37817,0.98384,0.98218,0.98922,0.77988,0.80111,0.38286,1.38338,0.000359363,0.000359363,0.000359363
50,815.415,0.88614,0.56736,1.38318,0.9842,0.98197,0.98928,0.77927,0.81958,0.39143,1.36289,0.000355892,0.000355892,0.000355892
51,832.067,0.87775,0.56098,1.37101,0.98989,0.98878,0.98929,0.77765,0.80285,0.36213,1.3928,0.00035242,0.00035242,0.00035242
52,848.046,0.8694,0.55545,1.36293,0.98264,0.98096,0.98979,0.77681,0.80631,0.38147,1.35216,0.000348948,0.000348948,0.000348948
53,864.133,0.87787,0.56067,1.37599,0.98222,0.98659,0.99015,0.76877,0.82462,0.37627,1.38642,0.000345477,0.000345477,0.000345477
54,880.671,0.86075,0.54558,1.3567,0.98529,0.99083,0.98949,0.78406,0.79553,0.36571,1.34892,0.000342005,0.000342005,0.000342005
55,896.929,0.87023,0.55728,1.35687,0.98435,0.98193,0.98879,0.77582,0.81442,0.37278,1.35728,0.000338534,0.000338534,0.000338534
56,912.454,0.85957,0.53715,1.34959,0.98492,0.98338,0.98794,0.78024,0.78945,0.3641,1.3728,0.000335062,0.000335062,0.000335062
57,929.12,0.86611,0.55063,1.36298,0.98357,0.98374,0.98826,0.77653,0.80963,0.37709,1.37823,0.00033159,0.00033159,0.00033159
58,945.694,0.85779,0.54539,1.34999,0.98729,0.98309,0.98836,0.78631,0.78694,0.35717,1.36138,0.000328119,0.000328119,0.000328119
59,961.812,0.85929,0.53464,1.35426,0.98464,0.98446,0.98813,0.7853,0.7922,0.36478,1.36744,0.000324647,0.000324647,0.000324647
60,977.981,0.85585,0.53874,1.34403,0.98512,0.9845,0.99056,0.78236,0.80688,0.36247,1.35051,0.000321176,0.000321176,0.000321176
61,994.592,0.85385,0.53853,1.34355,0.9905,0.98088,0.99141,0.78581,0.80225,0.36496,1.35762,0.000317704,0.000317704,0.000317704
62,1011.11,0.85134,0.5357,1.34654,0.99108,0.98762,0.99068,0.79034,0.7843,0.35089,1.34457,0.000314232,0.000314232,0.000314232
63,1027.7,0.85082,0.53587,1.342,0.97974,0.98345,0.98932,0.78493,0.7894,0.36217,1.35226,0.000310761,0.000310761,0.000310761
64,1043.64,0.84709,0.52444,1.33848,0.98623,0.98409,0.98972,0.78576,0.78088,0.36024,1.36724,0.000307289,0.000307289,0.000307289
65,1054.63,0.84361,0.52281,1.33825,0.98538,0.98496,0.98735,0.78979,0.77981,0.35658,1.37213,0.000303818,0.000303818,0.000303818
66,1066.39,0.83691,0.5189,1.3273,0.9868,0.98702,0.9897,0.78491,0.79215,0.3519,1.38515,0.000300346,0.000300346,0.000300346
67,1082.74,0.83765,0.52002,1.3264,0.99131,0.99198,0.99289,0.78933,0.78777,0.34791,1.36208,0.000296874,0.000296874,0.000296874
68,1099.18,0.83867,0.52015,1.32722,0.98763,0.98473,0.98945,0.77855,0.80964,0.36185,1.37644,0.000293403,0.000293403,0.000293403
69,1115.52,0.83409,0.51239,1.32361,0.98701,0.98783,0.98943,0.78263,0.8088,0.35944,1.35834,0.000289931,0.000289931,0.000289931
